Date,Open,High,Low,Close,Adj Close,Volume
2018-03-14,180.32,180.52,177.81,178.44,174.43,29368400
2018-03-15,178.5,180.24,178.07,178.65,174.63,22743800
2018-03-16,178.65,179.12,177.62,178.02,174.02,39404700
2018-03-19,177.32,177.47,173.66,175.3,171.36,33446800
2018-03-20,175.24,176.8,174.94,175.24,171.3,19649400
2018-03-21,175.04,175.09,171.26,171.27,167.42,37054900
2018-03-22,170.0,172.68,168.6,168.85,165.05,41490800
2018-03-23,168.39,169.92,164.94,164.94,161.23,41028800
2018-03-26,168.07,173.1,166.44,172.77,168.88,37541200
2018-03-27,173.68,175.15,166.92,168.34,164.55,40922600
2018-03-28,167.25,170.02,165.19,166.48,162.74,41668500
2018-03-29,167.81,171.75,166.9,167.78,164.01,38398500
2018-04-02,166.64,168.94,164.47,166.68,162.93,37586800
2018-04-03,167.64,168.75,164.88,168.39,164.6,30278000
2018-04-04,164.88,172.01,164.77,171.61,167.75,34605500
2018-04-05,172.58,174.23,172.08,172.8,168.91,26933200
2018-04-06,170.97,172.48,168.2,168.38,164.59,35005300
2018-04-09,169.88,173.09,169.85,170.05,166.23,29017700
2018-04-10,173.0,174.0,171.53,173.25,169.35,28408600
2018-04-11,172.23,173.92,171.7,172.44,168.56,22431600
2018-04-12,173.41,175.0,173.04,174.14,170.22,22889300
2018-04-13,174.78,175.84,173.85,174.73,170.8,25124300
2018-04-16,175.03,176.19,174.83,175.82,171.87,21578400
2018-04-17,176.49,178.94,176.41,178.24,174.23,26605400
2018-04-18,177.81,178.82,176.88,177.84,173.84,20754500
2018-04-19,173.76,175.39,172.66,172.8,168.91,34808800
2018-04-20,170.6,171.22,165.43,165.72,161.99,65491100
2018-04-23,166.83,166.92,164.09,165.24,161.52,36515500
2018-04-24,165.67,166.33,161.22,162.94,159.28,33692000
2018-04-25,162.62,165.42,162.41,163.65,159.97,28382100
2018-04-26,164.12,165.73,163.37,164.22,160.53,27963000
2018-04-27,164.0,164.33,160.63,162.32,158.67,35655800
2018-04-30,162.13,167.26,161.84,165.26,161.54,42427400
2018-05-01,166.41,169.2,165.27,169.1,165.3,53569400
2018-05-02,175.23,177.75,173.8,176.57,172.6,66539400
2018-05-03,175.88,177.5,174.44,176.89,172.91,34068200
2018-05-04,178.25,184.25,178.17,183.83,179.7,56201300
2018-05-07,185.18,187.67,184.75,185.16,181.0,42451400
2018-05-08,184.99,186.22,183.67,186.05,181.87,28402800
2018-05-09,186.55,187.4,185.22,187.36,183.15,23211200
2018-05-10,187.74,190.37,187.65,190.04,185.77,27989300
2018-05-11,189.49,190.06,187.45,188.59,185.06,26212200
2018-05-14,189.01,189.53,187.86,188.15,184.63,20778800
2018-05-15,186.78,187.07,185.1,186.44,182.95,23695200
2018-05-16,186.07,188.46,186.0,188.18,184.66,19183100
2018-05-17,188.0,188.91,186.36,186.99,183.49,17294000
2018-05-18,187.19,187.81,186.13,186.31,182.82,18297700
2018-05-21,188.0,189.27,186.91,187.63,184.12,18400800
2018-05-22,188.38,188.88,186.78,187.16,183.66,15240700
2018-05-23,186.35,188.5,185.76,188.36,184.83,20058400
2018-05-24,188.77,188.84,186.21,188.15,184.63,23234000
2018-05-25,188.23,189.65,187.65,188.58,185.05,17461000
2018-05-29,187.6,188.75,186.87,187.9,184.38,22514100
2018-05-30,187.72,188.0,186.78,187.5,183.99,18690500
2018-05-31,187.22,188.23,186.14,186.87,183.37,27482800
2018-06-01,187.99,190.26,187.75,190.24,186.68,23442500
2018-06-04,191.64,193.42,191.35,191.83,188.24,26266200
2018-06-05,193.07,193.94,192.36,193.31,189.69,21566000
2018-06-06,193.63,194.08,191.92,193.98,190.35,20933600
2018-06-07,194.14,194.2,192.34,193.46,189.84,21347200
2018-06-08,191.17,192.0,189.77,191.7,188.11,26656800
2018-06-11,191.35,191.97,190.21,191.23,187.65,18308500
2018-06-12,191.39,192.61,191.15,192.28,188.68,16911100
2018-06-13,192.42,192.88,190.44,190.7,187.13,21638400
2018-06-14,191.55,191.57,190.22,190.8,187.23,21610100
2018-06-15,190.03,190.16,188.26,188.84,185.3,61719200
2018-06-18,187.88,189.22,187.2,188.74,185.21,18484900
2018-06-19,185.14,186.33,183.45,185.69,182.21,33578500
2018-06-20,186.35,187.2,185.73,186.5,183.01,20628700
2018-06-21,187.25,188.35,184.94,185.46,181.99,25711900
2018-06-22,186.12,186.15,184.7,184.92,181.46,27200400
2018-06-25,183.4,184.92,180.73,182.17,178.76,31663100
2018-06-26,182.99,186.53,182.54,184.43,180.98,24569200
2018-06-27,185.23,187.28,184.03,184.16,180.71,25285300
2018-06-28,184.1,186.21,183.8,185.5,182.03,17365200
2018-06-29,186.29,187.19,182.91,185.11,181.64,22737700
2018-07-02,183.82,187.3,183.42,187.18,183.68,17731300
